title,tags_x,genre,popularity,vote_count,vote_average
the piano,"jane campion holli hunter, harvey keitel, sam neill, anna paquin, kerri walker, geneviev lemon, tungia baker, ian mune classic movies, dramas, independ movi with her daughter and her belov piano in tow, a mute scottish woman arriv in new zealand, where a gruff loner set out to seduc her.","Drama, Romance",17.331,1095.0,popular
beckett,"ferdinando cito filomarino john david washington, boyd holbrook, alicia vikander, vicki krieps, lena kitsopoulou, pano koronis, maria votti action & adventur an american tourist goe on the run in greec after a tragic accid plung him into a polit conspiraci that make him a target for assassination.","Crime, Mystery, Thriller",98.796,469.0,below_avg
the kingdom,"chino darín, nanci dupláa, joaquín furriel, peter lanzani, merced morán, diego peretti, vera spinetta, nico garcía hume, victoria almeida, santiago korovsky, patricio aramburu, alfonso tort, diego gentile, néstor guzzini, daniel kuzniecka crime tv shows, intern tv shows, spanish-languag tv show after hi run mate' murder, a controversi televangelist becom argentina' presidenti candidate. but noth about him is as holi as he seems.","Thriller, Action, Drama",21.368,1274.0,average
lokillo: nothing's the same,"julián gaviria lokillo florez stand-up comedi through song and puns, comedian lokillo florez hilari review how latin american have adjust to a new world where no-hug polici prevail.",Comedy,47.186,15.0,popular
monster hunter: legends of the guild,"steven yamamoto ben rausch, erica lindbeck, dant basco, brando eaton, stephen kramer glickman, carolin caliston, g.k. bowes, dan mccoy action & adventure, anim features, children & famili movi in a world where human and fearsom monster live in an uneasi balance, young hunter aiden fight to save hi villag from destruct by a dragon.","Animation, Adventure, Action, Fantasy",19.588,52.0,not_popular
misha and the wolves,"sam hobkinson documentaries, intern movi as a littl girl, she escap the holocaust and live among wolves. or did she? an extraordinari stori elicit sympathi — then draw scrutiny.",Documentary,18.918,17.0,popular
the kissing booth 3,"vinc marcello joey king, joel courtney, jacob elordi, molli ringwald, taylor zakhar perez, maisi richardson-sellers, megann young, stephen jen comedies, romant movi determin to make the most of her final summer befor college, ell plan the ultim bucket list as she navig what come next with noah and lee.","Romance, Comedy",100.603,1351.0,popular
untold: malice at the palace,"floyd russ documentaries, sport movi key figur from an infam 2004 incid between player and fan at an nba game in michigan discuss the fight, it fallout and it last legacy.","Documentary, Crime",15.993,49.0,average
vivo,"kirk demicco, brandon jefford lin-manuel miranda, ynairali simo, zoe saldana, juan de marcos, brian tyre henry, gloria estefan, michael rooker, nicol byer children & famili movies, music & music a music-lov kinkaj embark on the journey of a lifetim to fulfil hi destini and deliv a love song for an old friend.","Animation, Family, Comedy",118.092,496.0,popular
aftermath,"peter winther ashley greene, shawn ashmore, sharif atkins, britt baron, diana hopper, ross mccall, jami kaler, travi coles, susan walters, jason lile horror movi desper to save their marriage, a young coupl take a deal and move into their dream home, but disturb event reveal the house' troubl history.","Horror, Crime, Drama, Thriller",61.846,402.0,below_avg
pray away,"kristin stolaki documentaries, lgbtq movi ex-lead and a survivor of the so-cal ""convers therapy"" movement speak out about it harm to the lgbtq+ commun and it devast persistence.",Documentary,18.773,43.0,average
shiny_flakes: the teenage drug lord,"eva müller, michael schmitt maximilian schmidt documentaries, intern movi max s. reveal how he built a drug empir from hi childhood bedroom in thi stori that inspir the seri ""how to sell drug onlin (fast).""","Documentary, Crime",16.501,66.0,popular
beethoven,"brian levant charl grodin, bonni hunt, dean jones, oliv platt, stanley tucci, nichol tom, christoph castile, sarah rose karr, david duchovny, patricia heaton, o-lan jones, nanci fish children & famili movies, comedi a father reluctantli agre to let hi children keep a st. bernard puppy, but the play pooch soon turn into a full-grown engin of destruction.","Comedy, Family",24.962,1656.0,not_popular
beethoven's 2nd,"rod daniel charl grodin, bonni hunt, nichol tom, christoph castile, sarah rose karr, debi mazar, chri penn children & famili movies, comedi after st. bernard beethoven sire a brood with missy, he and the newton kid must interven when missy' owner tri to sell the puppies.","Family, Comedy",16.544,782.0,not_popular
